model,mean_score,median_score,mean_normalized_score,mean_rank
claude-sonnet-4-5,0.2389600396608676,0.1889937178129084,0.15706131156105368,4.095238095238095
gemini-3.5-flash,0.401883550480792,0.2783143187377774,0.8081069038382299,1.8571428571428572
gpt-4.1,0.35293406323554233,0.2,0.6279629481891795,2.4285714285714284
gpt-4o,0.3383319840163444,0.2476530874144507,0.632233846394566,2.5714285714285716
gpt-5,0.31658151599859846,0.1877242756977411,0.4932252822199241,2.9047619047619047
