model,num_benchmarks,mean_wall_clock_seconds,mean_generation_seconds,mean_model_load_seconds,mean_tokens_per_second,mean_output_tokens,mean_samples_per_second,peak_cpu_ram_bytes,peak_gpu_memory_bytes,mean_cpu_utilization_percent,measured_benchmarks,estimated_benchmarks
gpt-4o,21,8.666032494286663,3.8124532523842176,0.9364597999956459,,,0.3533127039097572,2132660224.0,,3.035351438045731,21,0
claude-sonnet-4-5,21,10.187052254999678,3.375308468095803,1.8560027999337763,,,0.26368893195541443,1999327232.0,,1.6836558485193311,21,0
gpt-4.1,21,10.738615980951968,2.939278588333677,1.3827757000690326,,,0.33166501702377665,1700270080.0,,2.197089815881916,21,0
gpt-5,21,11.167665617857294,3.233367930951395,1.4093711000168696,,,0.27864618291452625,1548115968.0,,2.3824053850029476,21,0
gemini-3.5-flash,21,19.131824480955647,10.556875547860926,1.926145000034012,,,0.19092324356768267,1671467008.0,,3.090668580012116,21,0
