model,num_benchmarks,mean_score,median_score,std_score,mean_normalized_score,mean_z_score,mean_rank,estimated_stats_benchmarks,first_place_finishes
gpt-4o,21,0.33576235720269176,0.24765308741445077,0.3371833636323782,0.8025116604645322,0.7051194628607528,1.7142857142857142,0,12
claude-sonnet-4-5,21,0.2393374195062703,0.18899371781290847,0.24099768783336697,0.649604494423295,0.350785872895376,2.5238095238095237,0,4
gpt-4.1,21,0.27499999999999997,0.0,0.39428204794706706,0.46857076163798855,-0.018627599414157214,2.4285714285714284,0,8
gpt-5,21,0.24285714285714283,0.0,0.4038210353255865,0.32259570494864614,-0.3216217220109855,2.8095238095238093,0,5
gemini-3.5-flash,21,0.025194391693751393,0.0,0.050005279724750974,0.15692530397006718,-0.7156560143309862,3.3333333333333335,0,2
