model,benchmarks_used,observed_mean_score,bootstrap_mean_score,bootstrap_std,ci05,ci25,ci50,ci75,ci95
gpt-4o,21,0.3357623572026917,0.33571748668506673,0.07126418693429322,0.2214597200318072,0.28618471558863057,0.33417339960702014,0.38326180211924715,0.4561962367459807
gpt-4.1,21,0.27499999999999997,0.27486392063492066,0.08383483042752601,0.14206349206349206,0.21626984126984128,0.27182539682539686,0.33015873015873015,0.4186507936507936
gpt-5,21,0.24285714285714283,0.2426094761904762,0.08548189793385585,0.10952380952380951,0.18095238095238095,0.24047619047619045,0.3,0.3904761904761904
claude-sonnet-4-5,21,0.2393374195062703,0.2393420744025662,0.051033156315519385,0.1583364957353835,0.20373237402074895,0.23753113429082584,0.2729278795961975,0.32566210126256334
gemini-3.5-flash,21,0.025194391693751393,0.025184094447377615,0.010679781702793153,0.008947788736754963,0.01751256798041637,0.02442950290714187,0.03194471142092876,0.04388784386868919
