model,num_benchmarks,mean_wall_clock_seconds,mean_generation_seconds,mean_model_load_seconds,mean_tokens_per_second,mean_output_tokens,mean_samples_per_second,peak_cpu_ram_bytes,peak_gpu_memory_bytes,mean_cpu_utilization_percent,measured_benchmarks,estimated_benchmarks
gpt-4o,12,13.319378385834474,5.145974627086737,0.9364597999956459,,,0.30308763861080446,2132660224.0,,3.730359252902804,12,0
claude-sonnet-4-5,12,14.981123558750552,3.391810131667201,1.8560027999337763,,,0.2538269231405222,1977044992.0,,1.4713539616438223,12,0
gpt-4.1,12,15.542027861664247,2.424479984164645,1.3827757000690326,,,0.3983978320341655,1447165952.0,,2.8609016605640445,12,0
gpt-5,12,16.4638118829161,2.958524252083347,1.4093711000168696,,,0.30215063552040894,1390501888.0,,3.0015396126562996,12,0
gemini-3.5-flash,12,23.43290806708731,9.012736727088729,1.926145000034012,,,0.2216081638524032,1671467008.0,,3.3342210552175424,12,0
