model,num_benchmarks,mean_score,median_score,std_score,mean_normalized_score,mean_z_score,mean_rank,estimated_stats_benchmarks,first_place_finishes
gpt-4.1,12,0.48124999999999996,0.4,0.4175766578144846,0.8199988328664799,0.5541811124958153,1.4166666666666667,0,8
gpt-4o,12,0.45,0.45833333333333337,0.40476954410921756,0.7548568111455108,0.44151480727808573,2.0833333333333335,0,5
claude-sonnet-4-5,12,0.32186868686868686,0.29333333333333333,0.288330798780773,0.6064567334110678,0.06385606923654945,2.8333333333333335,0,3
gpt-5,12,0.425,0.25,0.46048393516544583,0.5645424836601307,0.023941397951365895,2.0833333333333335,0,5
gemini-3.5-flash,12,0.016666666666666666,0.0,0.044381268229929716,0.08333333333333333,-1.0834933869618164,3.8333333333333335,0,1
