model,benchmarks_used,observed_mean_score,bootstrap_mean_score,bootstrap_std,ci05,ci25,ci50,ci75,ci95
gpt-4.1,12,0.48124999999999996,0.47758666666666666,0.1149596192375693,0.28815972222222225,0.3986111111111111,0.4774305555555555,0.5555555555555556,0.6659722222222222
gpt-4o,12,0.44999999999999996,0.45175194444444444,0.11103370107312877,0.26666666666666666,0.3763888888888889,0.4513888888888889,0.5263888888888889,0.638888888888889
gpt-5,12,0.425,0.42367083333333333,0.12344274700521875,0.225,0.3416666666666666,0.425,0.5083333333333333,0.625
claude-sonnet-4-5,12,0.32186868686868686,0.3241050909090909,0.07925145848951574,0.19381313131313135,0.2667929292929293,0.3249242424242424,0.3790909090909091,0.45416666666666666
gemini-3.5-flash,12,0.016666666666666666,0.016834166666666667,0.012426019939134886,0.0,0.008333333333333333,0.016666666666666666,0.024999999999999998,0.041666666666666664
