comparison,baseline_accuracy,candidate_accuracy,accuracy_delta,relative_error_reduction,both_correct,baseline_only_correct,candidate_only_correct,both_wrong,mcnemar_exact_p,bootstrap_mean_delta,ci025,ci975,probability_delta_above_zero,probability_delta_at_least_zero
Original LoRA minus Baseline,0.38,0.38,0.0,0.0,12,7,7,24,1.0,-0.00033399999999999993,-0.14,0.14,0.4457,0.55322
Balanced LoRA minus Baseline,0.38,0.48,0.09999999999999998,0.16129032258064516,14,5,10,21,0.3017578125,0.10013920000000003,-0.040000000000000036,0.24000000000000005,0.8836,0.92726
