model,samples,correct,accuracy,accuracy_ci_low,accuracy_ci_high,macro_recall,macro_f1,distinct_labels_predicted,most_common_prediction,most_common_prediction_count,wall_clock_seconds,seconds_per_sample,generation_seconds_per_sample,samples_per_second,tokens_per_second,mean_output_tokens,model_load_seconds,peak_cpu_ram_gib,peak_gpu_memory_gib
Baseline,50,19,0.38,0.25862789310193596,0.5184955306900703,0.3683333333333333,0.3416862745098039,9,shirt,20,28.991507114998967,0.5795671853199019,0.5467501932802407,1.724643006714616,4.499312538402908,2.46,27.235260708999704,1.6977653503417969,7.010435104370117
Original LoRA,50,19,0.38,0.25862789310193596,0.5184955306900703,0.3492857142857143,0.2956816059757236,7,shirt,29,31.823919272002968,0.6361747002798802,0.6114737776599213,1.5711452625505937,3.532449107247426,2.16,28.64427203000014,1.7382545471191406,7.037900924682617
Balanced LoRA,50,24,0.48,0.34797135286578046,0.6148825510995539,0.4552380952380952,0.45515873015873015,9,shirt,25,30.393127032999473,0.6075459274995229,0.5806118054399121,1.6451087756028617,3.754660135352018,2.18,11.87081998299982,1.769622802734375,7.037900924682617
