model,num_benchmarks,mean_score,median_score,std_score,mean_normalized_score,mean_z_score,mean_rank,estimated_stats_benchmarks,first_place_finishes
gemini-3.5-flash,44,0.5853686642446204,0.725,0.35314858449097797,0.7898991463845519,0.5429601786119265,1.8181818181818181,0,24
gpt-4.1,44,0.5591023685644381,0.625,0.3514513718182063,0.6683784200773032,0.23527485305488235,2.1818181818181817,0,14
gpt-4o,44,0.5088531719449501,0.55,0.34464027069494263,0.5725843117292007,0.009402076382469492,2.7045454545454546,0,12
gpt-5,44,0.5188987538478159,0.625,0.3670663899129374,0.5669235383755266,0.010193733166208769,2.659090909090909,0,11
claude-sonnet-4-5,44,0.4194784027674343,0.3933333333333333,0.3267697502793053,0.25439830995500506,-0.797830841215487,3.8181818181818183,0,6
