model,num_benchmarks,mean_wall_clock_seconds,mean_generation_seconds,mean_model_load_seconds,mean_tokens_per_second,mean_output_tokens,mean_samples_per_second,peak_cpu_ram_bytes,peak_gpu_memory_bytes,mean_cpu_utilization_percent,measured_benchmarks,estimated_benchmarks
gpt-4.1,44,3.665269265037468,1.8453881746337049,1.3827757000690326,,,0.6214744747858518,3395899392.0,,3.1220313720222808,44,0
gpt-5,44,4.207870206237207,2.0997629429667533,1.4093711000168696,,,0.4742630081528999,6110343168.0,,3.033143383304933,44,0
gpt-4o,44,5.653911448738463,3.3331582316948567,0.9383769724116628,,,0.4185906179271743,3334897664.0,,3.5001320369868667,44,0
claude-sonnet-4-5,44,6.827159602221747,3.5329327193782247,1.8560027999337763,,,0.29162092155560054,1999327232.0,,2.0818432737458914,44,0
gemini-3.5-flash,44,6.845316529924083,6.545308883876031,,,,0.42317064499507673,7802281984.0,,4.273519305734978,44,0
